Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
115,"Creve Coeur 2m",147.36000,+,0.6,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis",,,,
116,"Creve Coeur 1.25m",224.98000,-,1.6,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis",,,,
117,"Olivette",442.70000,+,5,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, Red Cross - Lindbergh",,,,
118,"I64 I270 2m",147.39000,+,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, Mercy Hospital",,,,
119,"I64 I270 70cm",442.97500,+,5,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis",,,,
120,"Des Peres",146.91000,-,0.6,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Des Peres, West County Mall",,,,
121,"St. Louis",443.30000,+,5,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis",,,,
122,"Ferguson",147.06000,+,0.6,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, I-270 and McDonnell Blvd",,,,
123,"Ferguson",442.87500,+,5,Tone,141.3,141.3,23,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis, I-270 and McDonnell Blvd",,,,
124,"Maryland Heights",442.37500,+,5,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Maryland Heights",,,,
125,"Arnold",442.45000,+,5,Tone,141.3,141.3,23,NN,023,Tone->Tone,FM,5.00,,10.0W,"Arnold",,,,
126,"Arnold",146.92500,-,0.6,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Arnold",,,,
127,"Collinsville",442.17500,+,5,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Collinsville, Holy Cross Church",,,,
128,"Bridgeton",146.73000,-,0.6,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Bridgeton, SSM De Paul Hospital",,,,
129,"Bridgeton",443.45000,+,5,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Bridgeton, SSM De Paul Hospital",,,,
130,"Paulina Hills",147.22500,+,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis",,,,
131,"Paulina Hills",443.15000,+,5,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St. Louis",,,,
132,"O'Fallon",443.10000,+,5,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"O'Fallon",,,,
133,"Edwardsville",442.40000,+,5,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Edwardsville, SIUE Water Tower",,,,
134,"St Charles",145.33000,-,0.6,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"St Charles, Water Tower - Lindenwood College",,,,
135,"Shiloh",145.11000,-,0.6,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Shiloh",,,,
136,"Waterloo",444.70000,+,5,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Waterloo",,,,
137,"Barnhart",443.72500,+,5,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Barnhart",,,,
138,"Belleville",224.12000,-,1.6,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,10.0W,"Belleville, Turkey Hill",,,,
